fecha_consulta,origen,destino,fecha_salida,precio,aerolinea
2025-11-28,MAD,DPS,2026-07-08,882.43,N/A
2025-11-28,MAD,DPS,2026-07-09,829.15,N/A
2025-11-28,MAD,DPS,2026-07-10,932.43,N/A
2025-11-28,MAD,DPS,2026-07-11,932.43,N/A
2025-11-28,MAD,DPS,2026-07-12,882.43,N/A
2025-11-28,BCN,DPS,2026-07-08,871.73,N/A
2025-11-28,BCN,DPS,2026-07-09,856.45,N/A
2025-11-28,BCN,DPS,2026-07-10,921.73,N/A
2025-11-28,BCN,DPS,2026-07-11,921.73,N/A
2025-11-28,BCN,DPS,2026-07-12,850.71,N/A
